time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-08T06:17:57.648Z,-20.8024,-68.6365,103.81,5.2,mww,,38,0.817,1.23,us,us70007leh,2020-02-08T07:05:52.084Z,"169km ESE of Iquique, Chile",earthquake,6.1,4.3,0.062,25,reviewed,us,us
2020-02-08T01:25:24.077Z,-21.6728,-179.2305,580.8,4.6,mb,,68,4.67,1.05,us,us70007lcg,2020-02-08T01:42:22.040Z,"125km SSW of Ndoi Island, Fiji",earthquake,12.7,9.2,0.041,177,reviewed,us,us
2020-02-08T01:01:50.326Z,30.102,80.0632,48.24,4.7,mb,,147,6.775,1.15,us,us70007lc7,2020-02-08T13:23:49.503Z,"39km NE of Bageshwar, India",earthquake,11.9,7.6,0.086,41,reviewed,us,us
2020-02-07T18:52:50.598Z,-59.4161,-60.239,10,5.5,mww,,90,2.934,0.85,us,us70007l2h,2020-02-08T18:54:32.746Z,"Drake Passage",earthquake,7.7,1.7,0.073,18,reviewed,us,us
2020-02-07T13:03:05.096Z,5.4273,126.2389,47.35,4.5,mb,,101,1.758,0.34,us,us70007ku6,2020-02-07T13:25:04.040Z,"85km SE of Caburan, Philippines",earthquake,8.1,8.3,0.097,31,reviewed,us,us
2020-02-07T10:38:03.213Z,-21.1536,-178.5635,551.41,4.5,mb,,115,4.657,1,us,us70007ksn,2020-02-07T11:12:16.040Z,"57km SSE of Ndoi Island, Fiji",earthquake,12.9,6.9,0.041,173,reviewed,us,us
2020-02-07T09:50:41.845Z,-13.3385,170.4153,627.2,4.6,mb,,67,8.411,1.09,us,us70007ks3,2020-02-07T10:23:08.040Z,"Vanuatu region",earthquake,9.1,7.4,0.038,210,reviewed,us,us
2020-02-07T08:20:15.251Z,-50.1183,161.8177,10,5,mb,,127,5.121,0.66,us,us70007kqx,2020-02-07T08:39:47.040Z,"North of Macquarie Island",earthquake,12.4,2,0.17,11,reviewed,us,us
2020-02-07T04:48:33.857Z,17.7549,40.1177,10,4.6,mb,,119,7.638,1.37,us,us70007kp0,2020-02-07T05:15:47.040Z,"182km SW of Al Qunfidhah, Saudi Arabia",earthquake,10.1,1.9,0.097,32,reviewed,us,us
2020-02-07T03:50:42.772Z,-2.7488,138.2257,63.27,5,mb,,100,5.972,1.13,us,us70007kn2,2020-02-07T04:07:37.040Z,"245km ENE of Enarotali, Indonesia",earthquake,10.7,7.5,0.076,55,reviewed,us,us
2020-02-07T03:46:58.993Z,19.19,144.8328,575.96,4.9,mb,,100,4.032,0.8,us,us70007kn1,2020-02-07T04:01:56.040Z,"99km WNW of Agrihan, Northern Mariana Islands",earthquake,11.8,8.2,0.119,22,reviewed,us,us
2020-02-07T03:11:46.748Z,35.0413,26.5134,10,4.7,mb,,65,0.731,0.98,us,us70007kmm,2020-02-07T03:38:30.040Z,"29km SE of Palaikastron, Greece",earthquake,4.9,1.9,0.054,104,reviewed,us,us
2020-02-07T02:03:37.274Z,5.388,126.4086,57.35,4.6,mb,,116,1.863,0.78,us,us70007klk,2020-02-07T02:24:02.040Z,"103km SE of Caburan, Philippines",earthquake,10.1,9.5,0.152,13,reviewed,us,us
2020-02-07T00:12:40.716Z,48.7584,125.2579,10,4.5,mb,,96,3.667,0.45,us,us70007kkc,2020-02-07T01:13:52.040Z,"43km NE of Nehe, China",earthquake,9.5,1.9,0.047,134,reviewed,us,us
2020-02-06T21:10:53.862Z,16.707,-60.9801,28.75,4.6,mb,,114,0.4,0.81,us,us70007k89,2020-02-09T03:53:44.040Z,"45km NNE of Grande Anse, Guadeloupe",earthquake,4.7,6.1,0.157,12,reviewed,us,us
2020-02-06T21:06:31.559Z,-9.6665,117.6614,35,4.9,mb,,53,3.664,1.36,us,us70007k7i,2020-02-09T03:43:18.493Z,"96km S of Pisangkemeng, Indonesia",earthquake,7.8,1.7,0.063,79,reviewed,us,us
2020-02-06T16:32:51.513Z,1.4567,128.1519,20.89,4.5,mb,,104,1.038,0.53,us,us70007k13,2020-02-07T16:09:06.040Z,"33km SSE of Tobelo, Indonesia",earthquake,5,3.8,0.11,27,reviewed,us,us
2020-02-06T14:20:46.723Z,5.307,126.1732,79.74,4.8,mb,,138,1.848,0.72,us,us70007jz3,2020-02-06T15:41:16.040Z,"79km E of Sarangani, Philippines",earthquake,11.2,9.4,0.125,20,reviewed,us,us
2020-02-06T13:40:09.255Z,5.469,126.494,43.64,6,mww,,38,1.832,1.31,us,us70007jwn,2020-02-07T13:44:22.029Z,"104km SSE of Pondaguitan, Philippines",earthquake,6.8,5.4,0.056,31,reviewed,us,us
2020-02-06T11:19:56.488Z,36.3667,141.8412,10,5.3,mww,,51,2.933,0.94,us,us70007juj,2020-02-07T15:21:07.861Z,"107km ESE of Takahagi, Japan",earthquake,7,1.8,0.08,15,reviewed,us,us
2020-02-06T10:20:29.981Z,-32.1828,-179.0085,11.15,5.1,mb,,71,3.072,1.49,us,us70007jtr,2020-02-06T10:46:43.040Z,"83km S of L'Esperance Rock, New Zealand",earthquake,9.3,3.8,0.066,75,reviewed,us,us
2020-02-06T09:24:16.942Z,39.2464,21.4918,10,5.2,mb,,24,1.392,1.01,us,us70007jsv,2020-02-06T10:09:01.231Z,"21km W of Neochorion, Greece",earthquake,5.7,1.8,0.072,64,reviewed,us,us
2020-02-06T07:10:54.535Z,-2.9405,139.0808,35,4.9,mb,,55,6.823,1.33,us,us70007jq8,2020-02-06T07:31:44.040Z,"170km WSW of Abepura, Indonesia",earthquake,4.4,2,0.066,72,reviewed,us,us
2020-02-05T23:17:59.211Z,18.5451,145.7093,199,4.5,mb,,144,3.286,1.24,us,us70007jjq,2020-02-05T23:42:03.040Z,"24km S of Agrihan, Northern Mariana Islands",earthquake,12.3,8.3,0.078,48,reviewed,us,us
2020-02-05T20:47:08.394Z,7.33,73.652,10,4.6,mb,,66,0.723,0.73,us,us70007jey,2020-02-11T21:27:23.057Z,"78km NE of Dhidhdhoo, Maldives",earthquake,5.1,1.7,0.107,26,reviewed,us,us
2020-02-05T19:23:01.566Z,20.0874,121.4495,35,4.5,mb,,120,2.738,0.83,us,us70007jdt,2020-02-06T15:05:16.040Z,"51km WSW of Sabtang, Philippines",earthquake,9.6,2,0.077,49,reviewed,us,us
2020-02-05T18:12:37.514Z,-6.079,113.1146,589.57,6.2,mww,,31,2.589,1.17,us,us70007j6z,2020-02-06T18:17:53.607Z,"111km NNE of Ujungpangkah, Indonesia",earthquake,4.8,3,0.041,58,reviewed,us,us
2020-02-05T13:54:19.819Z,10.9946,-86.5317,28.19,4.7,mb,,155,1.143,0.66,us,us70007j19,2020-02-05T14:09:07.040Z,"77km WSW of San Juan del Sur, Nicaragua",earthquake,6.8,7.6,0.099,31,reviewed,us,us
2020-02-05T12:36:44.361Z,10.5063,-86.8844,10,4.8,mb,,141,1.366,0.95,us,us70007j0k,2020-02-05T22:23:58.223Z,"135km W of Sardinal, Costa Rica",earthquake,4.5,1.9,0.029,379,reviewed,us,us
2020-02-05T12:17:05.474Z,-54.5501,158.7685,10,5.6,mww,,91,9.791,0.85,us,us70007j07,2020-02-06T12:18:47.453Z,"13km WSW of Macquarie Island, Australia",earthquake,10.4,1.9,0.08,15,reviewed,us,us
2020-02-05T11:24:22.551Z,-4.9489,152.9781,18.73,4.5,mb,,153,1.107,0.44,us,us70007izm,2020-02-05T11:43:58.040Z,"53km S of Taron, Papua New Guinea",earthquake,9.4,6,0.115,22,reviewed,us,us
2020-02-05T10:43:06.811Z,19.8526,-109.3786,10,5.1,mww,,223,3.85,0.88,us,us70007iz7,2020-02-06T18:06:32.040Z,"206km NE of Socorro Island, Mexico",earthquake,9.9,2,0.08,15,reviewed,us,us
2020-02-05T07:57:20.033Z,-4.4737,-77.4564,10,5.1,mb,,138,2.684,1.01,us,us70007ixw,2020-02-05T15:38:27.504Z,"92km WNW of Barranca, Peru",earthquake,8.2,1.9,0.029,374,reviewed,us,us
2020-02-05T02:50:52.521Z,29.4487,142.5246,10,4.6,mb,,134,2.363,0.74,us,us70007iut,2020-02-05T03:10:39.040Z,"263km N of Chichi-shima, Japan",earthquake,10.6,1.9,0.122,20,reviewed,us,us
2020-02-05T01:51:46.978Z,-5.8303,-80.6354,56.43,5.1,mb,,134,5.497,0.83,us,us70007iu1,2020-02-05T05:11:03.974Z,"36km SE of Sechura, Peru",earthquake,3.2,7.3,0.034,282,reviewed,us,us
2020-02-05T01:00:50.854Z,43.332,146.0386,66.51,4.7,mb,,137,2.618,0.67,us,us70007itc,2020-02-05T01:21:53.040Z,"37km E of Nemuro, Japan",earthquake,9.8,7.5,0.071,61,reviewed,us,us
2020-02-04T22:17:45.168Z,51.9633,178.3864,116.19,5.3,mb,,56,0.817,1,us,us70007imy,2020-02-11T22:27:47.431Z,"8km WNW of Little Sitkin Island, Alaska",earthquake,8.2,6.4,0.024,598,reviewed,us,us
2020-02-04T20:35:40.401Z,-22.8993,-68.2463,129.51,4.5,mb,,43,0.081,1.18,us,us70007iiu,2020-02-06T22:18:27.040Z,"3km WNW of San Pedro de Atacama, Chile",earthquake,8.7,9.1,0.145,15,reviewed,us,us
2020-02-04T20:32:55.155Z,36.582,71.2396,127.44,4.9,mb,,57,0.76,0.83,us,us70007iiq,2020-02-06T22:17:05.040Z,"28km WSW of Ashkasham, Afghanistan",earthquake,4.8,6.6,0.04,197,reviewed,us,us
2020-02-04T17:55:24.088Z,39.0338,27.9044,4.54,4.9,mb,,40,0.605,0.78,us,us60007pkf,2020-02-06T18:10:11.408Z,"13km NNE of Akhisar, Turkey",earthquake,4,4.2,0.048,136,reviewed,us,us
2020-02-04T16:47:11.057Z,39.0063,27.9425,10,4.6,mb,,53,0.704,1.04,us,us60007phg,2020-02-04T18:21:20.330Z,"13km NE of Akhisar, Turkey",earthquake,4.9,1.9,0.112,24,reviewed,us,us
2020-02-04T15:47:12.120Z,-9.0533,157.9286,10,5.1,mb,,46,2.029,1.05,us,us60007pgq,2020-02-04T17:49:47.040Z,"159km SE of Gizo, Solomon Islands",earthquake,9.9,1.9,0.073,60,reviewed,us,us
2020-02-04T15:00:10.066Z,-17.7822,-174.5981,96.54,4.9,mb,,73,4.617,0.68,us,us60007pfh,2020-02-04T15:54:29.040Z,"115km NW of Neiafu, Tonga",earthquake,10.4,8.4,0.12,25,reviewed,us,us
2020-02-04T14:49:37.406Z,-2.9925,130.2822,19.34,4.8,mb,,57,1.965,0.71,us,us60007pek,2020-02-04T17:48:17.040Z,"156km ENE of Amahai, Indonesia",earthquake,5.2,4.7,0.088,40,reviewed,us,us
2020-02-04T14:45:55.720Z,17.8388,-66.8751,7,5,ml,17,239,0.1364,0.19,pr,pr2020035028,2020-02-08T17:09:13.140Z,"20km SSE of Guanica, Puerto Rico",earthquake,1.05,1.24,0,0,reviewed,pr,pr
